total.credit.card.limit,avg.percentage_credit_card_limit_used_last_year,saving.amount,checking.amount,yearly.salary,age,dependent.number,loan.repaid
5100,1.07,4167,1868,10000,39,3,Yes
3300,1.07,695,795,25500,20,2,Yes
3500,1.07,2523,5374,33200,21,5,Yes
2300,1.07,6667,3728,0,59,4,Yes
3400,1.07,1735,3569,0,64,8,No
2600,1.07,1430,2149,22700,28,8,No
4200,1.07,1929,1652,22100,40,8,No
4900,1.07,1062,1678,23700,42,1,No
2900,1.07,1245,1065,31600,67,3,No
3000,1.07,937,2081,24300,59,2,No
2200,1.07,2948,1156,42400,40,0,Yes
3400,1.07,975,253,25400,41,6,No
3300,1.07,1168,2400,0,40,2,No
7900,1.07,2205,1007,0,47,1,Yes
5700,1.06,551,2872,0,23,4,No
7400,1.06,1320,1167,0,45,6,No
6400,1.06,1122,2364,12000,72,3,No
2800,1.06,1049,2372,0,50,8,No
4700,1.06,5667,3754,42500,41,6,Yes
2000,1.06,849,3714,26400,72,1,No
4200,1.06,3052,2721,43500,33,1,Yes
3500,1.06,1208,1063,40800,40,3,No
3300,1.06,609,2217,19700,24,4,No
3000,1.06,209,2917,0,53,5,No
1500,1.06,871,3046,27100,34,3,No
8200,1.06,701,7225,20200,68,2,Yes
7100,1.06,3479,3423,37900,38,7,Yes
3900,1.06,245,2233,0,50,1,No
2100,1.06,1102,1431,0,34,8,No
700,1.06,369,2412,0,25,8,No
1100,1.06,1653,1150,0,32,3,No
3600,1.06,777,2774,0,59,3,No
4300,1.06,1076,1535,22100,39,6,No
3200,1.06,2489,3875,41300,22,8,Yes
7500,1.06,1154,2066,0,39,8,No
8000,1.06,684,2796,14400,41,8,No
4000,1.06,692,2774,0,30,1,No
2900,1.06,3754,5256,33000,28,3,Yes
3900,1.06,2149,7545,36900,42,1,Yes
2100,1.06,481,876,0,67,3,No
1200,1.06,1755,2056,0,37,8,No
3000,1.06,2049,9293,23100,43,1,Yes
5400,1.06,3298,5060,52600,33,4,Yes
2600,1.06,547,2298,0,28,0,No
8100,1.06,1015,2889,32700,42,8,Yes
7400,1.06,3392,5709,32600,44,8,Yes
2900,1.06,1306,2878,28600,46,4,No
2800,1.06,4390,5497,39200,35,3,Yes
2300,1.06,838,1885,25000,39,3,No
1800,1.06,1478,1468,0,34,1,No
4900,1.05,411,268,0,48,4,No
2500,1.05,338,3111,0,71,3,No
3100,1.05,705,2312,12200,36,1,No
3100,1.05,958,2214,0,24,3,No
3700,1.05,1019,1391,0,54,1,No
2500,1.05,1162,1697,0,24,4,No
4100,1.05,1903,3268,0,59,5,No
3600,1.05,918,2552,0,48,1,No
5300,1.05,917,1605,23400,48,8,No
3600,1.05,933,2129,30800,37,2,No
5500,1.05,390,73,0,29,5,No
5600,1.05,1052,2749,0,59,6,No
3500,1.05,670,3014,12200,36,8,No
5800,1.05,1040,187,0,43,8,No
5500,1.05,1226,20,0,44,4,No
1000,1.05,1592,3909,19000,30,1,No
4600,1.05,1209,3229,0,31,1,No
2500,1.05,1618,1217,27000,37,3,No
2600,1.05,975,726,47800,35,2,Yes
2200,1.05,629,1780,0,42,2,No
1700,1.05,1476,1542,0,37,8,No
2500,1.05,5856,6860,39400,45,8,Yes
4700,1.05,473,2439,32800,24,7,No
5600,1.05,4386,3476,14400,40,2,Yes
1000,1.05,551,1809,0,52,8,No
4300,1.05,992,1371,0,60,2,No
5600,1.05,1378,760,0,52,2,No
5300,1.05,1284,1460,0,28,2,No
8600,1.05,1621,6269,35100,34,8,Yes
2700,1.05,714,382,0,22,8,No
3300,1.05,1957,1576,19100,42,3,No
2400,1.05,2323,5097,0,39,3,No
2800,1.05,681,2954,22700,48,2,No
5100,1.05,1627,4657,50000,41,2,Yes
8200,1.05,571,5702,73700,32,5,Yes
2900,1.05,3454,5187,33700,30,0,Yes
3200,1.05,515,2760,7900,44,1,No
4300,1.05,1331,1881,14900,43,6,No
3200,1.05,4785,4938,35800,45,7,Yes
3400,1.05,577,8910,39700,48,0,Yes
4400,1.05,1395,2011,0,44,8,No
3500,1.05,556,1797,0,18,8,No
2900,1.05,1616,1375,0,43,8,No
5700,1.05,6754,8081,57700,35,8,Yes
1700,1.05,552,659,0,34,5,No
1500,1.05,1243,1184,18800,39,8,No
3600,1.05,1255,1739,0,35,6,No
4300,1.04,663,1860,25100,32,2,No
1400,1.04,890,3608,0,44,2,No
4900,1.04,882,2384,0,18,8,No
4700,1.04,600,1812,29300,55,2,No
6400,1.04,722,1997,0,40,2,No
3500,1.04,1584,2214,0,37,8,No
2300,1.04,229,1444,0,58,6,No
3400,1.04,1171,2447,0,52,4,No
2700,1.04,2092,2059,45800,23,1,No
5300,1.04,1150,1061,0,56,8,No
3500,1.04,994,1673,0,45,2,No
6600,1.04,500,3002,0,35,8,No
5500,1.04,2507,4681,0,40,1,Yes
4700,1.04,1312,2109,22700,56,8,No
1100,1.04,1649,3465,29900,18,4,No
1900,1.04,619,2729,0,54,8,No
9300,1.04,5637,580,25600,64,8,Yes
3100,1.04,615,2928,0,39,4,No
1900,1.04,4483,4092,0,39,3,Yes
4300,1.04,736,2723,20600,54,2,No
4000,1.04,6557,2054,0,48,6,Yes
3600,1.04,175,1111,18000,54,1,No
5300,1.04,7446,2914,44500,42,3,Yes
4200,1.04,1084,2807,18500,32,8,No
1800,1.04,1709,1556,30500,34,7,No
3500,1.04,1116,363,0,58,1,No
7900,1.04,623,3226,15700,55,1,Yes
2700,1.04,564,1346,10800,34,2,Yes
4500,1.04,1144,2221,30500,22,2,No
5500,1.04,2272,4747,59400,50,8,Yes
2400,1.04,802,1928,0,28,7,No
4900,1.04,1547,2957,25400,73,8,No
7300,1.04,1203,2854,57200,20,1,Yes
5000,1.04,1343,2174,17900,30,4,No
2200,1.04,168,2978,0,58,2,No
4900,1.04,335,2918,26900,31,1,Yes
1100,1.04,1093,1795,0,45,8,No
6000,1.04,3024,4107,31500,48,1,Yes
5900,1.04,616,3280,12000,36,1,No
4700,1.03,1178,6906,0,29,0,Yes
6800,1.03,2572,3263,16700,51,1,Yes
2600,1.03,3217,8247,41400,19,2,Yes
3500,1.03,739,2200,13700,39,4,No
3500,1.03,1563,2812,0,40,5,No
2900,1.03,4800,6748,32800,36,1,Yes
3100,1.03,632,2813,0,30,8,No
5000,1.03,1023,2210,0,55,2,No
8000,1.03,2175,7267,57400,40,8,Yes
1900,1.03,1323,1242,23700,28,8,No
5000,1.03,1771,2683,0,49,4,No
5100,1.03,1485,2052,0,47,2,No
1900,1.03,1430,3359,11500,60,5,No
4200,1.03,635,1728,19100,41,8,No
5800,1.03,395,3381,0,56,8,Yes
7300,1.03,793,1973,22900,18,8,No
4100,1.03,1216,1682,0,53,2,No
4200,1.03,2541,6248,73600,20,8,Yes
2200,1.03,677,1503,26500,52,5,No
5300,1.03,1524,5362,24800,19,1,Yes
6100,1.03,1749,1395,100,39,4,Yes
5000,1.03,1228,1799,17200,39,2,No
3800,1.03,1902,2729,0,38,5,No
1400,1.03,641,2026,0,59,2,No
3300,1.03,554,1775,28300,36,2,No
3200,1.03,1579,476,0,23,4,No
3900,1.03,1507,4055,10100,30,4,Yes
2900,1.03,1049,3288,0,27,1,No
6800,1.03,2135,970,18900,58,5,No
2000,1.03,1288,2705,33300,45,8,No
2300,1.03,802,2494,0,33,2,No
2600,1.03,4320,3516,55500,39,1,Yes
7300,1.02,1511,4552,17500,57,2,Yes
3400,1.02,694,1378,19300,19,1,No
1800,1.02,414,2729,25600,57,5,No
3100,1.02,2711,173,0,33,1,Yes
4400,1.02,3889,8893,27000,52,1,Yes
4100,1.02,648,3568,17300,53,8,No
5100,1.02,1173,5211,20000,41,6,Yes
700,1.02,260,1786,23600,34,3,No
6400,1.02,2422,6178,56100,55,3,Yes
2200,1.02,1053,2129,0,42,3,No
600,1.02,1126,2525,31500,55,1,No
6000,1.02,1229,2108,0,26,1,No
6900,1.02,2809,3288,34100,40,8,Yes
6600,1.02,3654,4807,6800,32,7,Yes
4500,1.02,944,1414,35300,51,8,No
3900,1.02,922,3110,29300,40,8,No
7700,1.02,2928,6398,23200,43,8,Yes
6200,1.02,1172,3178,15900,44,8,No
2600,1.02,663,3832,0,31,2,No
2900,1.02,905,1392,0,50,2,No
7200,1.02,1076,1609,0,70,2,No
8300,1.02,4392,2268,17400,33,2,Yes
2800,1.02,614,1425,18600,61,5,No
4200,1.02,775,2051,0,32,1,No
4500,1.02,1437,2507,0,63,1,No
2200,1.02,1538,2065,0,31,3,No
4500,1.02,247,2721,0,21,1,No
7000,1.02,599,3671,0,52,3,No
2600,1.02,2744,4567,69000,33,6,Yes
3100,1.02,1398,2122,0,45,4,No
4700,1.02,2204,2840,31800,56,2,Yes
3500,1.02,684,2081,0,61,5,No
3700,1.02,501,2217,0,38,4,No
4100,1.02,843,1504,0,54,2,No
4600,1.02,2358,4656,5300,18,2,Yes
6600,1.02,1312,1896,0,24,6,No
6400,1.02,3217,1595,17500,63,5,Yes
1600,1.02,551,1059,0,41,8,No
3600,1.02,824,2195,0,37,8,No
800,1.02,588,114,0,75,5,No
3300,1.02,643,1678,20200,21,0,No
3000,1.01,922,1479,0,33,8,No
2000,1.01,923,3499,0,30,8,No
6200,1.01,2541,7888,46400,33,6,Yes
2700,1.01,1381,1984,25100,26,5,No
8300,1.01,2869,3177,33000,33,0,Yes
3600,1.01,714,1970,38800,35,8,Yes
5300,1.01,943,3788,0,55,2,No
4000,1.01,1143,2568,33500,33,8,No
2100,1.01,294,3979,22700,49,7,No
3300,1.01,806,3066,0,34,5,No
3700,1.01,1861,4309,33300,67,1,Yes
1300,1.01,1552,811,26400,37,3,No
4900,1.01,3814,1572,0,34,1,Yes
2400,1.01,423,2236,0,62,6,No
5100,1.01,754,4022,0,34,1,Yes
1600,1.01,791,2799,0,35,3,No
6000,1.01,751,2342,0,53,2,No
2000,1.01,381,872,17500,40,5,No
800,1.01,732,3254,0,34,2,No
2600,1.01,280,1742,0,55,8,No
2100,1.01,1510,3315,23300,47,2,No
7000,1.01,5380,5063,69500,58,3,Yes
4500,1.01,364,1988,27300,51,6,No
2000,1.01,216,930,0,46,1,No
3100,1.01,282,3013,40500,30,3,No
8500,1.01,3207,4785,58700,43,8,Yes
4900,1.01,4731,1726,23500,42,8,Yes
5800,1.01,397,3486,0,43,4,Yes
5800,1.01,2849,5861,39800,40,8,Yes
4000,1.01,1435,2247,27700,48,0,No
3000,1.01,1128,1342,22300,42,8,No
4800,1.01,256,1970,0,27,3,No
4800,1.01,6207,2379,0,62,8,Yes
3500,1.01,1231,1938,0,23,4,No
7900,1.01,1657,6404,47800,42,7,Yes
7300,1.01,2549,1553,46400,51,2,Yes
3500,1.01,1719,1734,0,58,3,No
5800,1.01,1685,2492,0,28,8,No
2800,1.01,1575,216,0,37,8,No
2200,1.01,1239,1722,0,41,2,No
600,1.01,1421,807,27100,35,2,No
5700,1.01,595,1414,0,41,7,No
5500,1.01,4659,5270,46200,42,2,Yes
2400,1.01,672,2203,0,65,6,No
3200,1.01,914,1449,0,37,1,No
5200,1.01,4431,4589,29900,24,1,Yes
5000,1.01,1402,2635,0,42,4,No
6500,1.01,2906,6975,44200,36,2,Yes
8000,1.01,545,3716,52600,41,2,Yes
4200,1.01,801,2437,26300,60,2,Yes
6100,1.01,3127,9836,37900,43,4,Yes
2500,1.01,1688,2663,0,50,2,No
3600,1.01,805,2219,0,40,3,No
4400,1.01,1114,3774,11300,49,1,No
6700,1.01,1336,1265,0,38,5,No
6000,1.01,3141,4012,11200,42,6,Yes
6600,1.01,4185,4100,29300,26,2,Yes
6700,1.01,321,5912,48500,40,3,Yes
6100,1.01,3316,3297,37700,23,2,Yes
6400,1.01,686,6859,14100,65,6,Yes
8000,1.01,2558,558,0,46,2,Yes
4400,1,3295,3810,0,19,2,Yes
1800,1,185,2353,21900,37,3,No
4300,1,1808,922,43100,39,3,Yes
8200,1,1007,3216,21700,28,7,No
6400,1,2457,6743,20400,53,3,Yes
2700,1,1252,3525,43400,34,8,No
3700,1,976,2444,17500,38,2,No
7800,1,213,3265,33700,37,2,Yes
4600,1,1589,3370,20900,37,8,No
2600,1,1357,6459,40700,42,2,Yes
3700,1,3292,844,40300,44,2,Yes
3600,1,692,2329,28100,43,8,No
2700,1,2198,1715,30600,33,4,Yes
5200,1,780,232,0,45,7,No
2500,1,2673,4532,43000,43,1,Yes
4300,1,1113,1172,20900,42,8,No
3500,1,3405,8018,19500,45,5,Yes
2700,1,481,647,19400,30,2,No
7100,1,4641,2773,21200,32,5,Yes
5600,1,3068,6758,44300,34,1,Yes
7100,1,3023,4105,45900,42,5,Yes
2700,1,2048,1195,26500,40,8,No
4700,1,1167,1060,18500,67,5,No
2200,1,660,1790,0,31,3,No
6800,1,1954,5116,14100,43,1,Yes
5700,1,1394,3563,28900,46,8,Yes
3100,1,360,2808,22500,53,5,No
2400,1,1061,5452,48300,36,2,Yes
5600,1,1669,4067,25700,42,3,Yes
3100,1,494,2668,31600,65,8,No
3500,1,1174,2551,33900,47,1,No
6900,1,459,2277,17000,42,8,No
2100,1,3108,5647,28000,35,1,Yes
3100,1,4058,3065,48100,63,1,Yes
3700,1,1814,3904,18300,60,1,No
7200,1,2780,2553,56800,23,8,Yes
4300,1,2523,1166,54400,27,1,Yes
4700,1,1856,1597,28900,32,5,No
2100,1,1570,1301,0,22,6,No
1600,1,485,1873,16100,36,4,No
5900,1,6515,7201,0,35,8,Yes
4500,1,1521,3120,21700,27,7,No
3700,1,1001,2323,33000,35,2,No
3100,1,798,2029,13300,37,8,No
2700,1,1331,2983,27400,54,8,No
5300,1,1641,2670,19600,27,1,No
3000,1,961,1368,35700,50,1,No
9800,1,2375,3908,46100,28,4,Yes
1000,1,881,817,35400,38,3,No
1600,1,1293,3906,16800,20,1,Yes
4100,1,1352,2905,27700,49,3,No
1100,1,1177,1968,24500,48,4,No
5300,1,242,205,26100,35,7,No
5900,1,5825,8878,31000,19,2,Yes
4200,1,4264,3586,26500,37,3,Yes
5100,1,455,3991,21200,38,3,Yes
900,1,1287,2428,26000,52,4,No
4400,1,2624,3548,29900,42,8,Yes
3600,1,378,2683,11000,53,4,No
5400,1,3278,474,23300,32,3,Yes
3300,1,975,1209,30600,51,8,No
6500,1,1718,7924,45800,36,3,Yes
2800,1,584,6338,28700,56,8,Yes
2200,1,1205,2932,59900,50,8,Yes
2500,1,805,1682,13200,72,5,No
4500,1,4157,2285,57200,49,8,Yes
4700,1,321,395,32600,67,4,No
4900,1,453,1332,0,31,2,No
4900,1,2613,3567,60200,55,8,Yes
6900,1,1309,2430,13200,39,4,No
3200,1,893,1252,18000,33,0,No
2300,1,935,5856,27200,42,2,Yes
4100,1,1381,1257,20100,36,7,Yes
2900,1,1973,1995,0,26,5,No
5800,1,2951,1468,65300,44,1,Yes
5200,1,2636,1217,36500,21,1,Yes
1500,1,1153,1509,33300,18,8,No
4000,1,543,903,51500,37,8,No
3100,1,396,927,0,39,8,No
2100,1,473,1067,21100,58,7,No
5500,1,2411,3280,37600,26,1,Yes
5400,1,474,1975,12500,33,8,No
5000,1,3098,4593,44000,38,2,Yes
6700,1,4647,2129,33600,53,4,Yes
2900,1,1115,2986,37300,49,1,No
5600,1,4439,6997,47300,43,7,Yes
3700,1,1739,2076,0,79,5,No
2300,1,1361,24,17700,26,8,No
2500,1,786,2832,0,40,7,No
4600,1,563,2399,22500,57,5,No
6700,1,4619,3005,41900,41,5,Yes
2400,1,1539,2076,6400,44,2,No
3800,1,4879,7609,47800,32,2,Yes
5500,1,5660,3520,37800,40,3,Yes
4500,1,703,3114,40800,19,0,No
4400,1,961,1538,34300,21,3,No
1100,1,320,1794,28300,61,4,No
6100,1,6074,2299,20900,19,1,Yes
3900,1,1218,1744,50800,49,4,Yes
6200,1,895,1280,0,23,2,No
4100,1,1578,2316,2800,29,2,Yes
4600,1,1349,1452,0,21,8,No
3800,1,948,1877,0,58,7,No
3100,1,2216,7411,28600,30,1,Yes
1700,1,990,3853,28300,41,1,No
2400,1,2471,1026,15100,39,1,Yes
3600,1,927,3887,31000,48,2,No
3600,1,1094,967,13600,31,5,No
1500,1,1104,2936,17000,34,2,No
3500,1,1022,3575,37200,63,4,No
4100,1,1052,2593,33500,48,8,No
4300,1,1095,2990,32200,38,8,No
2800,1,814,2761,16700,62,8,No
3900,1,3223,2469,22700,41,1,Yes
4900,1,30,3574,61600,32,8,Yes
6900,1,942,2948,29900,48,1,No
2900,1,712,1048,20300,41,4,No
1300,1,1347,1582,30700,50,4,No
4600,1,1463,1862,38300,31,3,No
2900,1,161,3077,31000,34,6,No
6600,1,2429,2837,48200,33,5,Yes
3500,1,6589,3845,0,27,1,Yes
6400,1,151,1102,34300,51,8,No
6400,1,4764,8182,43000,21,3,Yes
6300,1,1673,960,30500,48,7,No
5100,1,1394,2941,25700,24,2,No
2700,1,2047,3832,22700,36,2,No
5300,1,825,231,11100,31,5,No
1700,1,314,1683,18100,49,6,No
4400,1,1504,1480,32600,49,3,No
1000,1,3571,3037,18600,39,2,Yes
3500,1,4438,4159,26200,41,8,Yes
3200,1,771,2328,29200,33,8,No
6800,1,2796,7083,39200,38,2,Yes
4500,1,2889,3157,22100,27,3,Yes
6700,1,2953,5343,44300,49,0,Yes
3700,1,772,1331,24100,32,4,No
3600,1,1665,3970,33800,25,8,Yes
6800,1,2463,6948,42800,20,8,Yes
6000,1,464,4242,25100,46,8,Yes
2200,1,727,1763,16600,25,0,No
6600,1,2992,2290,36500,36,1,Yes
7200,1,1000,1081,3000,26,8,No
3000,1,1230,458,20800,46,2,No
5200,1,3736,1959,23400,50,1,Yes
3500,1,353,102,0,45,1,No
1000,1,1161,1617,20400,22,2,No
7100,1,797,6535,43300,30,1,Yes
3200,1,968,1128,51700,45,2,No
5100,1,1795,7210,12400,50,3,Yes
3300,1,769,1555,25900,39,3,No
5500,1,1454,1293,24100,53,4,No
3300,1,810,1948,19800,45,8,No
700,1,545,995,23500,47,8,No
4000,1,1843,3322,41900,29,4,Yes
6300,1,2637,4341,48900,51,2,Yes
6600,1,7313,2458,33900,21,3,Yes
6800,1,868,1360,22300,18,8,No
5800,1,641,2648,7100,36,0,No
3200,1,1260,3174,34700,49,4,No
3900,1,1188,2093,0,25,8,No
8000,1,2966,5187,38600,34,1,Yes
8300,1,1948,6730,34800,48,6,Yes
3100,1,219,2649,22500,23,3,No
2400,1,724,599,35500,46,7,Yes
7500,1,1203,7619,31900,38,8,Yes
2700,1,914,4210,27300,36,1,No
4200,1,3195,5558,31600,54,1,Yes
3000,1,2829,7008,15300,33,8,Yes
4700,1,4589,5885,33700,39,2,Yes
4700,1,1291,2063,0,32,8,No
3600,1,4482,5686,35700,60,1,Yes
3900,1,1690,3650,34900,28,8,No
1600,1,4348,2313,44300,53,8,Yes
6900,1,965,3096,44800,42,5,Yes
4100,1,1231,1357,0,41,3,No
5400,1,1932,2945,20600,37,3,No
5500,1,1551,7781,22400,19,1,Yes
7400,1,2161,5053,10400,29,1,Yes
2400,1,3209,3032,41600,39,8,Yes
7200,1,1163,878,39200,35,0,No
4700,1,1442,1991,5800,29,4,Yes
6600,1,4244,3219,53100,50,2,Yes
2200,1,3398,6044,60500,59,1,Yes
3800,1,1025,1585,21900,31,8,No
2800,1,392,2917,27100,35,2,No
800,1,1899,2299,17500,29,5,No
3200,1,2597,6345,66600,27,1,Yes
3300,1,439,1594,21600,25,6,No
4300,1,798,3074,7400,37,6,No
3500,1,913,2673,29000,53,6,No
4100,1,358,1984,4100,28,4,No
1600,1,1493,1172,45400,41,4,No
3600,1,1011,1557,17100,21,8,No
6600,1,5267,5265,0,48,0,Yes
3200,1,1389,2047,37700,43,4,No
2500,1,1916,5195,21700,31,1,Yes
4200,1,3073,126,41800,42,1,Yes
3100,1,3654,1823,50800,67,8,Yes
3900,1,1083,3668,26500,36,3,Yes
4800,1,511,2041,35200,35,2,No
4000,1,1921,5735,5300,35,1,Yes
5900,1,3446,3880,40000,35,5,Yes
8400,1,1597,3116,37800,27,2,Yes
4000,1,3835,5305,51500,55,3,Yes
4500,1,2150,3836,44700,45,3,Yes
2700,1,978,2474,27200,43,8,No
4000,1,2495,2244,33100,40,8,Yes
3500,1,1787,2418,34200,46,0,No
3200,1,544,7196,26400,57,2,Yes
3200,1,795,1367,19100,73,8,No
4800,1,542,929,22200,29,1,No
5300,1,1653,2142,17400,39,2,No
7300,1,79,6870,21400,21,1,Yes
4500,1,1213,3223,0,36,8,No
4800,1,4687,4285,10300,56,8,Yes
2400,1,3444,5859,11800,52,1,Yes
4700,1,266,2647,0,37,8,No
4000,1,1125,440,0,31,4,No
6900,1,1461,3073,33600,43,4,No
4300,1,1867,2136,55100,27,8,Yes
6400,1,4878,6988,49400,31,3,Yes
2500,1,527,2954,22400,39,4,No
5100,1,1661,6937,28300,43,1,Yes
2600,1,1129,946,30800,68,2,No
4900,1,1481,4721,40400,35,1,Yes
1700,1,1246,1305,0,59,8,No
2800,1,1061,6347,61800,29,3,Yes
2900,1,1230,3199,34100,25,2,Yes
5200,1,1085,2875,36300,29,1,Yes
2400,1,478,40,22800,45,8,No
10200,1,269,4345,50200,44,1,Yes
6200,1,972,4291,21400,29,7,Yes
3300,0.99,1244,729,0,24,3,No
2500,0.99,998,2029,49000,38,5,No
6500,0.99,2642,4265,14600,27,2,Yes
6500,0.99,4335,8859,26900,28,1,Yes
2000,0.99,908,6419,42600,40,8,Yes
3600,0.99,1104,3082,10300,48,1,No
2600,0.99,1849,2608,19300,21,7,No
4100,0.99,4556,7629,26800,36,1,Yes
4000,0.99,183,2531,14600,29,8,No
6200,0.99,1188,3333,35900,21,2,Yes
3800,0.99,1244,1252,52900,32,7,Yes
3700,0.99,1416,6193,54500,39,4,Yes
700,0.99,1301,2096,19300,34,8,No
6900,0.99,4637,2726,26200,42,8,Yes
5700,0.99,1037,2252,17400,36,8,No
4600,0.99,1495,4060,21400,31,2,Yes
6600,0.99,1054,2084,28200,31,1,No
4600,0.99,4649,8178,26400,30,4,Yes
3000,0.99,2732,2881,31000,39,0,Yes
2000,0.99,1863,3945,30300,40,8,Yes
6400,0.99,2883,2468,36900,19,2,Yes
8700,0.99,3637,3840,9900,53,5,Yes
4400,0.99,2687,6324,27300,41,2,Yes
4400,0.99,221,1785,12600,44,5,No
2300,0.99,594,4863,53700,51,5,Yes
4600,0.99,2293,4224,31300,33,5,Yes
2800,0.99,1704,3982,43500,24,0,Yes
4000,0.99,1087,571,0,30,8,No
6500,0.99,752,749,0,37,4,No
2400,0.99,815,1453,19500,40,2,No
5400,0.99,1001,2156,0,60,8,No
2000,0.99,1056,1965,25000,59,1,No
4000,0.99,2568,4130,34100,24,2,Yes
4000,0.99,1215,7180,34500,37,1,Yes
6000,0.99,283,1623,46900,37,2,Yes
3000,0.99,2480,1755,27100,21,2,Yes
2900,0.99,2356,1744,30700,50,8,Yes
4800,0.99,3235,3096,39300,24,5,Yes
3300,0.99,1167,2616,0,27,0,No
2900,0.99,1026,3593,53900,49,0,Yes
5400,0.99,1178,3171,16500,34,1,No
4300,0.99,1284,2264,26800,49,3,No
10400,0.99,4333,5089,24700,31,8,Yes
5200,0.99,1170,2925,37100,28,1,Yes
5600,0.99,148,5961,52300,38,4,Yes
5900,0.99,736,4836,40000,61,3,Yes
6200,0.99,4715,6101,18000,47,8,Yes
4700,0.99,1220,2646,28000,36,7,No
2700,0.99,419,2022,24100,35,8,No
3800,0.99,5755,1695,36900,51,8,Yes
3400,0.99,1786,4794,32600,44,1,Yes
3300,0.99,1687,1365,19000,58,1,No
3700,0.99,1287,805,21000,29,2,No
6100,0.99,5386,6590,24700,20,4,Yes
3700,0.99,814,3644,8800,35,2,No
4900,0.99,1999,154,8800,28,1,No
9300,0.99,1970,8556,43400,41,1,Yes
3500,0.99,874,2140,9000,22,8,No
1900,0.99,766,2182,13000,66,1,No
3100,0.99,1893,3072,16900,63,2,No
2200,0.99,1648,2010,9300,65,2,No
3600,0.99,285,1942,0,51,8,No
7600,0.99,1576,5956,21600,63,1,Yes
7900,0.99,921,1457,0,40,1,No
2000,0.99,1118,1161,17700,47,4,No
4000,0.99,668,3173,27900,29,7,No
4300,0.99,3924,1056,17200,37,2,Yes
8500,0.99,2439,3043,34000,54,1,Yes
7300,0.99,1371,1743,13000,38,0,Yes
7400,0.99,442,2082,27700,46,2,Yes
6700,0.99,939,2007,34000,34,3,No
4000,0.99,809,1870,29200,39,8,No
600,0.99,811,3556,29700,64,5,No
